code,year,month,temp_min_abs
C0E8,2016,5,1.7
C0E8,2016,6,9.4
C0E8,2016,7,8.5
C0E8,2016,8,9.9
C0E8,2016,9,10.0
C0E8,2016,10,3.7
C0E8,2016,11,2.9
C0E8,2016,12,-1.3
C023,2016,1,-1.2
C023,2016,2,-3.8
C023,2016,3,-2.1
C023,2016,4,-1.8
C023,2016,5,0.1
C023,2016,6,8.0
C023,2016,7,7.9
C023,2016,8,8.9
C023,2016,9,9.5
C023,2016,10,1.8
C023,2016,11,-1.4
C023,2016,12,-1.7
C084,2016,1,2.8
C084,2016,2,-1.2
C084,2016,3,2.9
C084,2016,4,3.8
C084,2016,5,4.7
C084,2016,6,10.2
C084,2016,7,10.4
C084,2016,8,12.2
C084,2016,9,11.3
C084,2016,10,5.8
C084,2016,11,2.7
C084,2016,12,-0.7
C0EA,2016,1,0.6
C0EA,2016,2,-1.8
C0EA,2016,3,0.8
C0EA,2016,4,2.2
C0EA,2016,5,3.2
C0EA,2016,6,11.5
C0EA,2016,7,10.4
C0EA,2016,8,11.9
C0EA,2016,9,11.8
C0EA,2016,10,4.9
C0EA,2016,11,2.5
C0EA,2016,12,-0.6
C026,2016,1,-1.7
C026,2016,2,-5.2
C026,2016,3,-1.8
C026,2016,4,-0.4
C026,2016,5,0.3
C026,2016,6,7.4
C026,2016,7,6.6
C026,2016,8,7.8
C026,2016,9,8.1
C026,2016,10,1.1
C026,2016,11,-0.3
C026,2016,12,-3.9
C058,2016,1,-0.7
C058,2016,2,-3.6
C058,2016,3,-0.7
C058,2016,4,0.4
C058,2016,5,2.3
C058,2016,6,6.9
C058,2016,7,9.2
C058,2016,8,9.3
C058,2016,9,8.0
C058,2016,10,4.2
C058,2016,11,-0.6
C058,2016,12,-0.4
C0F0,2016,1,2.7
C0F0,2016,2,-0.8
C0F0,2016,3,1.9
C0F0,2016,4,2.7
C0F0,2016,5,3.7
C0F0,2016,6,10.1
C0F0,2016,7,9.6
C0F0,2016,8,11.2
C0F0,2016,9,10.8
C0F0,2016,10,4.5
C0F0,2016,11,2.1
C0F0,2016,12,-0.9
C0E7,2016,1,0.0
C0E7,2016,2,-1.9
C0E7,2016,3,-0.2
C0E7,2016,4,0.8
C0E7,2016,5,1.4
C0E7,2016,6,9.0
C0E7,2016,7,9.2
C0E7,2016,8,9.7
C0E7,2016,9,10.3
C0E7,2016,10,4.0
C0E7,2016,11,0.6
C0E7,2016,12,-2.6
C018,2016,1,4.9
C018,2016,2,0.6
C018,2016,3,4.2
C018,2016,4,6.0
C018,2016,5,6.7
C018,2016,6,12.6
C018,2016,7,13.4
C018,2016,8,14.0
C018,2016,9,13.0
C018,2016,10,7.4
C018,2016,11,5.2
C018,2016,12,1.2
C0DC,2016,1,1.2
C0DC,2016,2,-0.9
C0DC,2016,3,0.8
C0DC,2016,4,1.8
C0DC,2016,5,3.3
C0DC,2016,6,10.2
C0DC,2016,7,10.2
C0DC,2016,8,11.5
C0DC,2016,9,11.3
C0DC,2016,10,4.6
C0DC,2016,11,1.8
C0DC,2016,12,-1.0
C071,2016,1,0.6
C071,2016,2,-0.1
C071,2016,3,1.6
C071,2016,4,3.5
C071,2016,5,5.2
C071,2016,6,9.4
C071,2016,7,11.5
C071,2016,8,13.2
C071,2016,9,10.9
C071,2016,10,7.2
C071,2016,11,2.3
C071,2016,12,2.8
C0EC,2016,1,2.8
C0EC,2016,2,-0.3
C0EC,2016,3,2.1
C0EC,2016,4,3.7
C0EC,2016,5,3.8
C0EC,2016,6,10.8
C0EC,2016,7,10.6
C0EC,2016,8,12.5
C0EC,2016,9,11.5
C0EC,2016,10,5.8
C0EC,2016,11,3.8
C0EC,2016,12,-0.8
C0DE,2016,1,2.4
C0DE,2016,2,0.3
C0DE,2016,3,1.9
C0DE,2016,4,3.2
C0DE,2016,5,3.4
C0DE,2016,6,10.3
C0DE,2016,7,10.0
C0DE,2016,8,11.7
C0DE,2016,9,11.3
