code,year,month,viento_velocidad_racha_maxima
C020,2017,4,88.6
C020,2017,5,64.8
C020,2017,6,65.9
C020,2017,7,59.8
C020,2017,8,54.4
C020,2017,9,56.9
C020,2017,10,62.6
C020,2017,11,56.9
C020,2017,12,99.0
C050,2017,1,60.1
C050,2017,2,110.9
C050,2017,3,56.2
C050,2017,4,59.4
C050,2017,5,66.6
C050,2017,6,80.6
C050,2017,7,78.5
C050,2017,8,46.8
C050,2017,9,45.7
C050,2017,10,46.1
C050,2017,11,60.5
C050,2017,12,133.2
C061,2017,1,100.1
C061,2017,2,126.7
C061,2017,3,74.9
C061,2017,4,86.4
C061,2017,5,86.4
C061,2017,6,101.2
C061,2017,7,66.2
C061,2017,8,74.2
C061,2017,9,67.7
C061,2017,10,79.2
C061,2017,11,99.0
C061,2017,12,142.9
C032,2017,1,50.4
C032,2017,2,63.7
C032,2017,3,51.8
C032,2017,4,49.3
C032,2017,5,49.7
C032,2017,6,55.8
C032,2017,7,51.8
C032,2017,8,42.8
C032,2017,9,47.2
C032,2017,10,47.2
C032,2017,11,46.4
C032,2017,12,62.6
C002,2017,1,52.9
C002,2017,2,90.4
C002,2017,3,95.8
C002,2017,4,77.4
C002,2017,5,50.8
C002,2017,6,78.5
C002,2017,7,41.4
C002,2017,8,42.8
C002,2017,9,45.7
C002,2017,10,44.6
C002,2017,11,38.2
C002,2017,12,88.9
C069,2017,1,86.4
C069,2017,2,100.1
C069,2017,3,81.7
C069,2017,4,84.2
C069,2017,5,70.6
C069,2017,6,92.5
C069,2017,7,72.4
C069,2017,8,62.6
C069,2017,9,67.3
C069,2017,10,89.6
C069,2017,11,79.2
C069,2017,12,111.2
C065,2017,1,96.5
C065,2017,2,173.5
C065,2017,3,95.4
C065,2017,4,96.1
C065,2017,5,100.1
C065,2017,6,94.3
C065,2017,7,74.5
C065,2017,8,70.9
C065,2017,9,77.0
C065,2017,10,67.7
C065,2017,11,109.4
C065,2017,12,173.9
C003,2017,1,70.9
C003,2017,2,99.7
C003,2017,3,61.2
C003,2017,4,68.0
C003,2017,5,70.9
C003,2017,6,62.6
C003,2017,7,63.0
C003,2017,8,42.5
C003,2017,9,49.0
C003,2017,10,59.0
C003,2017,11,52.6
C003,2017,12,76.3
C039,2017,1,67.7
C039,2017,2,104.0
C039,2017,3,68.8
C039,2017,4,80.6
C039,2017,5,73.8
C039,2017,6,71.6
C039,2017,7,50.4
C039,2017,8,55.8
C039,2017,9,58.3
C039,2017,10,61.9
C039,2017,11,74.2
C039,2017,12,92.5
C075,2017,1,60.1
C075,2017,2,84.2
C075,2017,3,71.3
C075,2017,4,56.5
C075,2017,5,71.3
C075,2017,6,66.2
C075,2017,7,60.5
C075,2017,8,37.8
C075,2017,9,45.4
C075,2017,10,43.9
C075,2017,11,48.6
C075,2017,12,76.3
C038,2017,1,60.8
C038,2017,2,90.7
C038,2017,3,60.5
C038,2017,4,79.2
C038,2017,5,60.5
C038,2017,6,70.6
C038,2017,7,46.1
C038,2017,8,47.2
C038,2017,9,54.4
C038,2017,10,62.6
C038,2017,11,74.2
C038,2017,12,95.0
C033,2017,1,91.4
C033,2017,2,100.8
C033,2017,3,65.2
C033,2017,4,69.1
C033,2017,5,77.0
C033,2017,6,55.1
C033,2017,7,52.9
C033,2017,8,44.6
C033,2017,9,64.4
C033,2017,10,60.1
C033,2017,11,58.3
C033,2017,12,88.6
C036,2017,1,74.9
C036,2017,2,101.5
C036,2017,3,71.3
C036,2017,4,85.7
C036,2017,5,65.5
C036,2017,6,65.2
C036,2017,7,57.2
C036,2017,8,52.2
C036,2017,9,51.5
C036,2017,10,50.4
C036,2017,11,61.2
C036,2017,12,91.8
C045,2017,1,83.9
C045,2017,2,146.2
C045,2017,3,96.5
C045,2017,4,101.9
C045,2017,5,89.6
C045,2017,6,104.4
C045,2017,7,66.6
