code,year,month,precipitacion_acumulada
C0D3,2016,10,27.2
C0D3,2016,11,235.6
C0D3,2016,12,18.9
C0DD,2016,1,131.4
C0DD,2016,2,293
C0DD,2016,3,218.2
C0DD,2016,4,81.4
C0DD,2016,5,66.8
C0DD,2016,6,46.3
C0DD,2016,7,75.2
C0DD,2016,8,51.2
C0DD,2016,9,104.7
C0DD,2016,10,52.9
C0DD,2016,11,226.6
C0DD,2016,12,21.4
C0E9,2016,1,113.4
C0E9,2016,2,304.4
C0E9,2016,3,262.7
C0E9,2016,4,104.4
C0E9,2016,5,53.6
C0E9,2016,6,55
C0E9,2016,7,20.1
C0E9,2016,8,19.5
C0E9,2016,9,101.5
C0E9,2016,10,37.5
C0E9,2016,11,186.6
C0E9,2016,12,16.4
C078,2016,1,144.9
C078,2016,2,368.9
C078,2016,3,295.9
C078,2016,4,102.4
C078,2016,5,65.7
C078,2016,6,36.1
C078,2016,7,38.3
C078,2016,8,21.6
C078,2016,9,91.6
C078,2016,10,39.8
C078,2016,11,232.8
C078,2016,12,23.8
C052,2016,1,189.8
C052,2016,2,382.4
C052,2016,3,374.9
C052,2016,4,131.6
C052,2016,5,133.2
C052,2016,6,78.5
C052,2016,7,66
C052,2016,8,36.1
C052,2016,9,127.4
C052,2016,10,46.8
C052,2016,11,326.2
C052,2016,12,30.7
C0E1,2016,1,91
C0E1,2016,2,272.3
C0E1,2016,3,224.5
C0E1,2016,4,105.7
C0E1,2016,5,52.6
C0E1,2016,6,78.3
C0E1,2016,7,18.9
C0E1,2016,8,20.8
C0E1,2016,9,59
C0E1,2016,10,43.4
C0E1,2016,11,177.4
C0E1,2016,12,12.2
C077,2016,1,118.9
C077,2016,2,295.8
C077,2016,3,250.5
C077,2016,4,89.1
C077,2016,5,81.2
C077,2016,6,48.8
C077,2016,7,65.5
C077,2016,8,35.7
C077,2016,9,96
C077,2016,10,54.3
C077,2016,11,272.3
C077,2016,12,24.3
C080,2016,1,210.6
C080,2016,2,415.6
C080,2016,3,335.7
C080,2016,4,127.3
C080,2016,5,148
C080,2016,6,95.2
C080,2016,7,64.2
C080,2016,8,40
C080,2016,9,174.5
C080,2016,10,51.2
C080,2016,11,352.5
C080,2016,12,28.7
C0E8,2016,1,121.4
C0E8,2016,2,295.1
C0E8,2016,3,262.8
C0E8,2016,4,111.5
C0E8,2016,5,80.2
C0E8,2016,6,38.8
C0E8,2016,7,43.8
C0E8,2016,8,34.6
C0E8,2016,9,100.2
C0E8,2016,10,38.4
C0E8,2016,11,229.7
C0E8,2016,12,22.2
C023,2016,1,133.2
C023,2016,2,378.1
C023,2016,3,325.4
C023,2016,4,122.4
C023,2016,5,59.7
C023,2016,6,49.7
C023,2016,7,39.9
C023,2016,8,14.8
C023,2016,9,73.6
C023,2016,10,18.6
C023,2016,11,192.7
C023,2016,12,21.4
C084,2016,1,173.4
C084,2016,2,246.1
C084,2016,3,226.3
C084,2016,4,79.1
C084,2016,5,109
C084,2016,6,57.8
C084,2016,7,23.6
C084,2016,8,38.5
C084,2016,9,159.9
C084,2016,10,58.1
C084,2016,11,325.2
C084,2016,12,13.3
C0EA,2016,1,119.1
C0EA,2016,2,280
C0EA,2016,3,250.4
C0EA,2016,4,118
C0EA,2016,5,84.3
C0EA,2016,6,65.3
C0EA,2016,7,88.4
C0EA,2016,8,58.8
C0EA,2016,9,114.9
C0EA,2016,10,40.4
C0EA,2016,11,252.5
C0EA,2016,12,32.6
C026,2016,1,182.9
C026,2016,2,379.5
C026,2016,3,334.8
C026,2016,4,143.5
C026,2016,5,117.6
C026,2016,6,69
C026,2016,7,54.7
C026,2016,8,33.5
C026,2016,9,124.1
C026,2016,10,41.9
C026,2016,11,300
C026,2016,12,33.3
C058,2016,1,127.7
C058,2016,2,356.1
C058,2016,3,304.1
C058,2016,4,124.3
C058,2016,5,85.2
C058,2016,6,65.1
C058,2016,7,52.3
C058,2016,8,41.4
C058,2016,9,128.3
C058,2016,10,46.8
C058,2016,11,281.7
C058,2016,12,25.1
C0F0,2016,1,158
C0F0,2016,2,303.3
C0F0,2016,3,253.3
C0F0,2016,4,91.4
C0F0,2016,5,118.4
C0F0,2016,6,73.7
C0F0,2016,7,121
C0F0,2016,8,46.7
C0F0,2016,9,119.3
C0F0,2016,10,59.4
C0F0,2016,11,306.4
C0F0,2016,12,23
C0E7,2016,1,105.7
C0E7,2016,2,262.2
C0E7,2016,3,245.9
C0E7,2016,4,108.5
C0E7,2016,5,59.2
C0E7,2016,6,42.7
C0E7,2016,7,17.5
C0E7,2016,8,13.9
C0E7,2016,9,60.8
C0E7,2016,10,31
C0E7,2016,11,161.5
C0E7,2016,12,13
C0DC,2016,1,121.3
C0DC,2016,2,349.6
C0DC,2016,3,302.4
C0DC,2016,4,125.7
C0DC,2016,5,56
C0DC,2016,6,41.6
C0DC,2016,7,44.2
C0DC,2016,8,43.3
C0DC,2016,9,103.4
C0DC,2016,10,54.4
C0DC,2016,11,185.1
C0DC,2016,12,22.3
C0EC,2016,1,132.3
C0EC,2016,2,305.2
C0EC,2016,3,246.7
C0EC,2016,4,75.3
C0EC,2016,5,83.8
C0EC,2016,6,40.8
C0EC,2016,7,68
C0EC,2016,8,41.9
C0EC,2016,9,112.5
C0EC,2016,10,41.2
C0EC,2016,11,285.8
C0EC,2016,12,20.8
C0DE,2016,1,127.7
C0DE,2016,2,344.5
C0DE,2016,3,286.2
C0DE,2016,4,133.8
C0DE,2016,5,62.3
C0DE,2016,6,50.9
C0DE,2016,7,56.8
C0DE,2016,8,39.3
C0DE,2016,9,118.1
C0DE,2016,10,45.5
C0DE,2016,11,195
C0DE,2016,12,27.4
C017,2016,1,159.1
C017,2016,2,318.1
C017,2016,3,188.7
C017,2016,4,80.1
C017,2016,5,101.7
C017,2016,6,56.6
C017,2016,7,92.9
C017,2016,8,36.2
C017,2016,9,137.9
C017,2016,10,68.8
C017,2016,11,312.3
C017,2016,12,23.4
C0F4,2016,1,160.3
C0F4,2016,2,317.1
C0F4,2016,3,226.4
C0F4,2016,4,71.5
C0F4,2016,5,132.2
C0F4,2016,6,55.1
C0F4,2016,7,56.3
C0F4,2016,8,32.5
C0F4,2016,9,150.5
C0F4,2016,10,53.7
C0F4,2016,11,364.7
C0F4,2016,12,19.2
C0D1,2016,1,75.3
C0D1,2016,2,305.2
C0D1,2016,3,246.5
C0D1,2016,4,99.8
C0D1,2016,5,52.4
C0D1,2016,6,41.1
C0D1,2016,7,39.7
C0D1,2016,8,19.1
C0D1,2016,9,74.6
C0D1,2016,10,25
C0D1,2016,11,180.8
C0D1,2016,12,17.2
C043,2016,1,93.3
C043,2016,2,291.2
C043,2016,3,252.3
C043,2016,4,105.5
C043,2016,5,49.7
C043,2016,6,63
C043,2016,7,10.7
C043,2016,8,14.6
C043,2016,9,59.7
C043,2016,10,50.2
C043,2016,11,168.6
C043,2016,12,13.8
C0D2,2016,1,95.8
C0D2,2016,2,340.2
C0D2,2016,3,257.8
C0D2,2016,4,93.1
C0D2,2016,5,53.6
C0D2,2016,6,38.4
C0D2,2016,7,47.6
C0D2,2016,8,21
C0D2,2016,9,65.9
C0D2,2016,10,21.2
C0D2,2016,11,171
C0D2,2016,12,16
C0D0,2016,1,104.6
C0D0,2016,2,250.2
C0D0,2016,3,272.8
C0D0,2016,4,98.7
C0D0,2016,5,35.3
C0D0,2016,6,67.9
C0D0,2016,7,44.8
C0D0,2016,8,29.2
C0D0,2016,9,70.7
C0D0,2016,10,34.2
C0D0,2016,11,186.1
C0D0,2016,12,14.7
C064,2016,1,110.3
C064,2016,2,245.6
C064,2016,3,142.7
C064,2016,4,49.2
C064,2016,5,76.2
C064,2016,6,44
C064,2016,7,57.3
C064,2016,8,41
C064,2016,9,89.9
C064,2016,10,39.2
C064,2016,11,226.8
C064,2016,12,14.4
C028,2016,1,204.9
C028,2016,2,285.7
C028,2016,3,261.8
C028,2016,4,130.3
C028,2016,5,67.1
C028,2016,6,68.2
C028,2016,7,42
C028,2016,8,34.4
C028,2016,9,121.3
C028,2016,10,36.3
C028,2016,11,193.8
C028,2016,12,16.1
C029,2016,1,107.7
C029,2016,2,255.9
C029,2016,3,221.9
C029,2016,4,96.5
C029,2016,5,78.8
C029,2016,6,45
C029,2016,7,58.5
C029,2016,8,34.3
C029,2016,9,80.5
C029,2016,10,33.7
C029,2016,11,221.6
C029,2016,12,26.6
C076,2017,1,106.3
C076,2017,2,54.1
C076,2017,3,45.2
C076,2017,4,20.8
C076,2017,5,52.6
C076,2017,6,76
C076,2017,7,12.1
C076,2017,8,16.3
C076,2017,9,16
C076,2017,10,29
C076,2017,11,77.9
C076,2017,12,149.7
C056,2017,1,87.5
C056,2017,2,45.6
C056,2017,3,39.8
C056,2017,4,20.3
C056,2017,5,42.6
C056,2017,6,129.5
C056,2017,7,19.8
C056,2017,8,24.8
C056,2017,9,26.3
C056,2017,10,22.8
C056,2017,11,59.4
C056,2017,12,107.5
C035,2017,1,212.1
C035,2017,2,71.5
C035,2017,3,78.1
C035,2017,4,53.4
C035,2017,5,82.2
C035,2017,6,85.5
C035,2017,7,21
C035,2017,8,26.4
C035,2017,9,40.8
