code,year,month,helada_dias
C0E9,2016,8,0
C0E9,2016,9,0
C0E9,2016,10,0
C0E9,2016,11,0
C0E9,2016,12,2
C078,2016,1,0
C078,2016,2,1
C078,2016,3,0
C078,2016,4,0
C078,2016,5,0
C078,2016,6,0
C078,2016,7,0
C078,2016,8,0
C078,2016,9,0
C078,2016,10,0
C078,2016,11,0
C078,2016,12,2
C052,2016,1,0
C052,2016,2,2
C052,2016,3,1
C052,2016,4,0
C052,2016,5,0
C052,2016,6,0
C052,2016,7,0
C052,2016,8,0
C052,2016,9,0
C052,2016,10,0
C052,2016,11,0
C052,2016,12,4
C0E1,2016,1,3
C0E1,2016,2,4
C0E1,2016,3,1
C0E1,2016,4,0
C0E1,2016,5,0
C0E1,2016,6,0
C0E1,2016,7,0
C0E1,2016,8,0
C0E1,2016,9,0
C0E1,2016,10,0
C0E1,2016,11,1
C0E1,2016,12,8
C077,2016,1,0
C077,2016,2,1
C077,2016,3,0
C077,2016,4,0
C077,2016,5,0
C077,2016,6,0
C077,2016,7,0
C077,2016,8,0
C077,2016,9,0
C077,2016,10,0
C077,2016,11,0
C077,2016,12,2
C080,2016,1,0
C080,2016,2,4
C080,2016,3,1
C080,2016,4,0
C080,2016,5,0
C080,2016,6,0
C080,2016,7,0
C080,2016,8,0
C080,2016,9,0
C080,2016,10,0
C080,2016,11,0
C080,2016,12,6
C0E8,2016,1,1
C0E8,2016,2,3
C0E8,2016,3,0
C0E8,2016,4,0
C0E8,2016,5,0
C0E8,2016,6,0
C0E8,2016,7,0
C0E8,2016,8,0
C0E8,2016,9,0
C0E8,2016,10,0
C0E8,2016,11,0
C0E8,2016,12,3
C023,2016,1,4
C023,2016,2,7
C023,2016,3,2
C023,2016,4,1
C023,2016,5,0
C023,2016,6,0
C023,2016,7,0
C023,2016,8,0
C023,2016,9,0
C023,2016,10,0
C023,2016,11,2
C023,2016,12,5
C084,2016,1,0
C084,2016,2,1
C084,2016,3,0
C084,2016,4,0
C084,2016,5,0
C084,2016,6,0
C084,2016,7,0
C084,2016,8,0
C084,2016,9,0
C084,2016,10,0
C084,2016,11,0
C084,2016,12,1
C0EA,2016,1,0
C0EA,2016,2,2
C0EA,2016,3,0
C0EA,2016,4,0
C0EA,2016,5,0
C0EA,2016,6,0
C0EA,2016,7,0
C0EA,2016,8,0
C0EA,2016,9,0
C0EA,2016,10,0
C0EA,2016,11,0
C0EA,2016,12,2
C026,2016,1,3
C026,2016,2,5
C026,2016,3,4
C026,2016,4,1
C026,2016,5,0
C026,2016,6,0
C026,2016,7,0
C026,2016,8,0
C026,2016,9,0
C026,2016,10,0
C026,2016,11,1
C026,2016,12,7
C058,2016,1,1
C058,2016,2,7
C058,2016,3,4
C058,2016,4,0
C058,2016,5,0
C058,2016,6,0
C058,2016,7,0
C058,2016,8,0
C058,2016,9,0
C058,2016,10,0
C058,2016,11,1
C058,2016,12,1
C0F0,2016,1,0
C0F0,2016,2,1
C0F0,2016,3,0
C0F0,2016,4,0
C0F0,2016,5,0
C0F0,2016,6,0
C0F0,2016,7,0
C0F0,2016,8,0
C0F0,2016,9,0
C0F0,2016,10,0
C0F0,2016,11,0
C0F0,2016,12,2
C0E7,2016,1,1
C0E7,2016,2,3
C0E7,2016,3,1
C0E7,2016,4,0
C0E7,2016,5,0
C0E7,2016,6,0
C0E7,2016,7,0
C0E7,2016,8,0
C0E7,2016,9,0
C0E7,2016,10,0
C0E7,2016,11,0
C0E7,2016,12,3
C018,2016,1,0
C018,2016,2,0
C018,2016,3,0
C018,2016,4,0
C018,2016,5,0
C018,2016,6,0
C018,2016,7,0
C018,2016,8,0
C018,2016,9,0
C018,2016,10,0
C018,2016,11,0
C018,2016,12,0
C0DC,2016,1,0
C0DC,2016,2,1
C0DC,2016,3,0
C0DC,2016,4,0
C0DC,2016,5,0
C0DC,2016,6,0
C0DC,2016,7,0
C0DC,2016,8,0
C0DC,2016,9,0
C0DC,2016,10,0
C0DC,2016,11,0
C0DC,2016,12,2
C071,2016,1,0
C071,2016,2,1
C071,2016,3,0
C071,2016,4,0
C071,2016,5,0
C071,2016,6,0
C071,2016,7,0
C071,2016,8,0
C071,2016,9,0
C071,2016,10,0
C071,2016,11,0
C071,2016,12,0
C0EC,2016,1,0
C0EC,2016,2,1
C0EC,2016,3,0
C0EC,2016,4,0
C0EC,2016,5,0
C0EC,2016,6,0
C0EC,2016,7,0
C0EC,2016,8,0
C0EC,2016,9,0
C0EC,2016,10,0
C0EC,2016,11,0
C0EC,2016,12,1
C0DE,2016,1,0
C0DE,2016,2,0
C0DE,2016,3,0
C0DE,2016,4,0
C0DE,2016,5,0
C0DE,2016,6,0
C0DE,2016,7,0
C0DE,2016,8,0
C0DE,2016,9,0
C0DE,2016,10,0
C0DE,2016,11,0
C0DE,2016,12,0
C017,2016,1,0
C017,2016,2,1
C017,2016,3,0
C017,2016,4,0
C017,2016,5,0
C017,2016,6,0
C017,2016,7,0
C017,2016,8,0
C017,2016,9,0
C017,2016,10,0
C017,2016,11,0
C017,2016,12,0
C0F4,2016,1,0
C0F4,2016,2,1
C0F4,2016,3,0
C0F4,2016,4,0
C0F4,2016,5,0
C0F4,2016,6,0
C0F4,2016,7,0
C0F4,2016,8,0
C0F4,2016,9,0
C0F4,2016,10,0
C0F4,2016,11,0
C0F4,2016,12,1
C0D1,2016,1,1
C0D1,2016,2,3
C0D1,2016,3,1
C0D1,2016,4,1
C0D1,2016,5,0
C0D1,2016,6,0
C0D1,2016,7,0
C0D1,2016,8,0
C0D1,2016,9,0
C0D1,2016,10,0
C0D1,2016,11,0
C0D1,2016,12,3
C043,2016,1,0
C043,2016,2,1
C043,2016,3,0
C043,2016,4,0
C043,2016,5,0
C043,2016,6,0
C043,2016,7,0
C043,2016,8,0
C043,2016,9,0
C043,2016,10,0
C043,2016,11,0
C043,2016,12,2
C0D2,2016,1,0
C0D2,2016,2,3
C0D2,2016,3,0
C0D2,2016,4,0
C0D2,2016,5,0
C0D2,2016,6,0
C0D2,2016,7,0
C0D2,2016,8,0
C0D2,2016,9,0
C0D2,2016,10,0
C0D2,2016,11,0
C0D2,2016,12,2
C007,2016,1,0
C007,2016,2,0
C007,2016,3,0
