code,year,month,viento_media_velocidades_maximas
C038,2017,8,31.6
C038,2017,9,30.0
C038,2017,10,28.3
C038,2017,11,34.0
C038,2017,12,41.4
C033,2017,1,34.1
C033,2017,2,43.6
C033,2017,3,37.0
C033,2017,5,36.7
C033,2017,6,31.0
C033,2017,7,31.6
C033,2017,8,31.8
C033,2017,9,30.1
C033,2017,10,28.1
C033,2017,11,30.7
C033,2017,12,36.8
C036,2017,1,34.8
C036,2017,2,48.5
C036,2017,3,40.2
C036,2017,4,35.9
C036,2017,5,37.0
C036,2017,6,36.9
C036,2017,7,33.2
C036,2017,8,34.1
C036,2017,9,31.7
C036,2017,10,28.0
C036,2017,11,33.3
C036,2017,12,36.8
C045,2017,1,51.4
C045,2017,2,67.0
C045,2017,3,56.6
C045,2017,4,46.1
C045,2017,5,51.0
C045,2017,6,47.6
C045,2017,7,39.6
C045,2017,8,41.3
C045,2017,9,45.0
C019,2017,1,61.3
C019,2017,2,70.6
C019,2017,3,60.3
C019,2017,4,54.3
C019,2017,5,56.7
C019,2017,6,54.0
C019,2017,7,43.9
C019,2017,8,41.5
C019,2017,9,49.6
C019,2017,10,49.4
C019,2017,11,63.4
C057,2017,1,36.4
C057,2017,2,44.2
C057,2017,3,38.1
C057,2017,4,36.1
C057,2017,5,34.6
C057,2017,6,34.1
C057,2017,7,31.4
C057,2017,8,31.6
C057,2017,9,31.3
C057,2017,10,27.8
C057,2017,11,32.7
C057,2017,12,40.4
C046,2017,1,62.6
C046,2017,2,70.8
C046,2017,3,60.6
C046,2017,4,52.3
C046,2017,5,57.6
C046,2017,6,51.9
C046,2017,7,48.4
C046,2017,8,46.0
C046,2017,9,46.4
C046,2017,10,47.6
C046,2017,11,61.2
C046,2017,12,67.4
C059,2017,1,37.7
C059,2017,2,52.1
C059,2017,3,49.9
C059,2017,4,39.1
C059,2017,5,44.4
C059,2017,6,42.3
C059,2017,7,36.1
C059,2017,8,38.2
C059,2017,9,38.8
C059,2017,10,30.5
C059,2017,11,38.3
C059,2017,12,48.3
C072,2017,1,57.9
C072,2017,2,78.5
C072,2017,3,61.3
C072,2017,4,50.9
C072,2017,5,57.2
C072,2017,6,49.5
C072,2017,7,48.5
C072,2017,8,49.0
C072,2017,9,43.7
C072,2017,10,50.5
C072,2017,11,56.6
C072,2017,12,70.0
C0B4,2017,1,26.8
C0B4,2017,2,34.9
C0B4,2017,3,31.8
C0B4,2017,4,31.8
C0B4,2017,5,29.5
C0B4,2017,6,25.1
C0B4,2017,7,30.7
C0B4,2017,8,28.7
C0B4,2017,9,25.8
C0B4,2017,10,23.8
C0B4,2017,11,25.1
C0B4,2017,12,27.7
C054,2017,1,31.1
C054,2017,2,37.3
C054,2017,3,33.6
C054,2017,4,29.8
C054,2017,5,29.3
C054,2017,6,29.4
C054,2017,7,29.3
C054,2017,8,28.4
C054,2017,9,27.7
C054,2017,10,23.0
C054,2017,11,30.3
C054,2017,12,33.4
C042,2017,1,55.3
C042,2017,2,63.8
C042,2017,3,52.2
C042,2017,4,44.3
C042,2017,5,46.1
