northing,easting,zone
"4789563,559","502273,0469",30
"4785151,657","507198,4834",30
"4784653,708","508867,1082",30
"4785137,358","507177,164",30
"4787826,624","506775,9009",30
"4783402,64","508971,1",30
"4784599,56","508911,88",30
"4785162,94","507671,09",30
"4783646,01","509182,88",30
"4784412,75","508778,48",30
"4784572,1","509044,17",30
"4785133,51","507699,17",30
"4775368,554","516630,3908",30
"4775617,969","517468,0149",30
"4775851,017","517422,0797",30
"4775250,778","518147,7307",30
"4775828,636","517494,1745",30
"4775481,689","517179,952",30
"4775479,797","517306,6928",30
"4775283,574","517715,4972",30
"4775547,171","517798,4299",30
"4776049,568","517706,6157",30
"4776191,587","516958,3526",30
"4775280,514","517715,9882",30
"4775309,341","517693,3824",30
"4776386,194","517753,6982",30
"4775459,841","517885,6696",30
"4775832,97","517404,0643",30
"4775208,878","516625,9997",30
"4775450,777","517642,627",30
"4775930,099","517391,1668",30
"4775920,137","516227,801",30
"4775320,166","517669,5767",30
"4775315,769","517055,9838",30
"4775337,276","517045,8125",30
"4775196,077","517508,2545",30
"4775209,331","516991,5616",30
"4775072,925","518039,8237",30
,,30
,,30
,,30
,,30
"4775696,305","517860,8385",30
"4775702,591","517080,2127",30
"4790894,791","480794,3619",30
"4787049,333","481559,9224",30
"4788836,375","482009,6179",30
,,30
,,30
"4790111,252","505276,8332",30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
"4788313,623","480529,9651",30
"4787498,145","479917,6508",30
"4787541,784","479141,7165",30
"4786343,125","481711,6642",30
"4788811,187","480738,645",30
,,30
,,30
"4786775,521","483930,8492",30
"4787274,938","485196,9983",30
"4786775,521","483930,8492",30
,,30
,,30
,,30
,,30
,,30
,,30
"4789599,837","481617,5931",30
,,30
,,30
,,30
,,30
"4788916,149","482172,9579",30
,,30
"4788612,63","480456,1",30
"4786438,01","482284,52",30
"4775350,492","533765,3292",30
"4773424,102","531876,5886",30
"4774367,576","533044,8896",30
"4775309,344","534208,9572",30
,,30
,,30
"4773449,283","532509,6008",30
"4775312,164","533743,8325",30
"4771923,078","534026,6447",30
"4775603,005","533747,2546",30
"4771970,879","534163,0293",30
"4775324,323","533953,1103",30
"4771891,807","534084,5582",30
"4772083,309","534051,7406",30
"4773265,552","533122,3925",30
"4775839,789","533386,0153",30
"4772022,501","533885,7153",30
"4775103,523","534748,6622",30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
,,30
"4772118,379","533791,6856",30
"4775254,129","534130,6976",30
"4775574,421","533785,672",30
"4775576,8","533796,8006",30
"4775098,422","534034,8008",30
"4775097,511","534026,5143",30
"4775616,89","533493,49",30
"4794490,644","537343,3931",30
,,30
,,30
,,30
"4793933,339","535362,4384",30
,,30
"4793828,652","535324,2405",30
,,30
,,30
"4793502,551","535578,8298",30
,,30
,,30
"4793757,197","535673,1919",30
,,30
,,30
"4794234,211","535848,2357",30
"4792853,665","535893,9205",30
"4794230,309","535506,0815",30
,,30
,,30
"4794281,51","535947,2533",30
,,30
,,30
"4796206,844","537090,8743",30
,,30
,,30
,,30
"4794150,634","535358,8684",30
"4792683,521","535400,3289",30
"4794128,437","535523,2984",30
"4794128,437","535523,2984",30
"4794128,437","535523,2984",30
,,30
,,30
"4808459,166","515347,5035",30
"4808142,569","515457,0634",30
"4807460,049","514865,4147",30
"4807116,492","515500,0351",30
"4807471,719","515799,3693",30
"4809902,331","517557,5374",30
"4808097,372","514423,4247",30
"4808276,552","515515,4551",30
"4808898,489","516199,399",30
"4807777,387","515333,951",30
"4809400,366","516945,415",30
"4808420,678","514997,7791",30
"4807077,041","515242,8452",30
"4805603,573","515356,4838",30
"4807426,22","514730,478",30
"4809968,754","517480,5944",30
"4808443,928","515100,3408",30
"4807677,204","514983,7225",30
"4806560,46","514664,2136",30
"4808922,952","516252,0583",30
"4807306,772","515612,1353",30
"4808237,611","515523,8426",30
"4806519,772","514979,9391",30
"4808361,46","515835,2038",30
"4808884,381","516621,2572",30
"4808107,718","515578,5266",30
"4808594,78","515133,528",30
"4807401,159","515006,4428",30
"4807503,806","515059,9648",30
,,30
"4807921,553","515095,0886",30
"4807921,553","515095,0886",30
"4807922,076","515093,7513",30
"4808174,527","515418,3908",30
"4807340,115","515466,2574",30
"4807287,943","515498,591",30
"4807834,467","515260,8442",30
"4807060,149","515240,0547",30
"4807504,766","515053,7476",30
"4807101,973","515315,267",30
"4807931,988","515699,9696",30
"4807199,095","515479,386",30
"4807967,342","515803,1569",30
"4807413,055","515746,1121",30
"4807975,537","515588,9321",30
"4809591,319","516739,5607",30
"4807955,781","514674,266",30
"4808189,332","516221,5847",30
"4807838,922","515290,2099",30
"4807299,342","515159,1577",30
"4807861,23","514944,1874",30
"4807078,229","515059,8581",30
"4807475,267","514691,8736",30
"4809238,417","516628,6341",30
"4808102,977","514952,2477",30
"4806802,841","515201,8602",30
"4808095,939","514958,0936",30
"4807422,029","515988,4971",30
"4809574,879","516718,6483",30
"4808987,569","516589,5326",30
"4808267,045","514969,0487",30
"4807411,349","514539,7377",30
"4807256,065","514923,5417",30
"4807430,03","515982,3847",30
"4807993,384","515391,4486",30
"4808505,965","515695,3536",30
"4805570,931","515356,7246",30
