_id,URTEA/ANIO,JARDUERA_ZENBAKIA/NUM_ACTUACION,ALTA_DATA/FECHA ALTA,ERABILTZAILEA_EU/USUARIO_EU,ERABILTZAILEA_CAS/USUARIO_CAS,UDALERRIA/MUNICIPIO,HELBIDEA/DIRECCION,ESPEZIE/ESPECIE,KOKALEKUA/UBICACION,ALTUERA/ALTURA,DIAMETROA/DIAMETRO,longitude,latitude,EGOERA_EU/ESTADO_EU,EGOERA_CAS/ESTADO_CAS,ITXIERA_DATA/FECHA CIERRE,ITXIERAKO AGENTEA_EU/AGENTE CIERRE_EU,ITXIERAKO AGENTEA_CAS/AGENTE CIERRE_CAS
59,2018,1711,2018-08-16 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ARRANKURRI 56 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,0,40,"531475,5494","4777927,186",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-21 00:00:00,BASALAN,BASALAN
60,2018,1650,2018-08-14 00:00:00,BASALAN,BASALAN,ABADIÑO,MUNTXARAT 7,AVISPA ASIÁTICA,ARBOLADO,15,100,"","",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-14 00:00:00,BASALAN,BASALAN
61,2018,1656,2018-08-14 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ALFREDO BAESCHLIN 30 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,0,50,"531867,6071","4777234,457",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-17 00:00:00,BASALAN,BASALAN
62,2018,1605,2018-08-13 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,OLALDE 4-3º A ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,3,25,"532073,3792","4777392,154",ITXITA - EZIN DA EZABATU,CERRADA - NO ELIMINABLE,2018-08-14 00:00:00,BASALAN,BASALAN
63,2018,1530,2018-09-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,EREZENA 7-2º B-DCH ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,40,30,"531552,6421","4779425,529",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-14 00:00:00,BASALAN,BASALAN
64,2018,1508,2018-08-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ALFREDO BAESCHLIN 16 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,7,40,"531727,5973","4777540,199",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-23 00:00:00,BASALAN,BASALAN
65,2018,1509,2018-08-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,TORREBURU 2 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,40,"531660,6952","4777609,076",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-13 00:00:00,BASALAN,BASALAN
66,2018,1469,2018-07-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ARZUBIA 3 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,0,10,"531510,9627","4779820,689",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-08 00:00:00,BASALAN,BASALAN
67,2018,1295,2018-02-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GAZTELUA 20 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,10,20,"532532,4613","4778573,442",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-07-08 00:00:00,BASALAN,BASALAN
68,2018,1275,2018-02-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,"LAUBIDETA KALEA, 14",AVISPA ASIÁTICA,CONSTRUCCIÓN,6,20,"531824,9561","4779789,966",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-07-08 00:00:00,BASALAN,BASALAN
